Sample.ID,Start.Weight,Weight_g,Delta.Weight.FC,Fat.mass_g,Lean.mass_g,Pre.blood.value,Post.blood.value,Insulin_pre_ng.mL,GIP_pre_pg.mL,Glucagon_pre_ng.mL.,Leptin_pre_ng.mL,Resistin_pre_ng.mL,Insulin_post_ng.mL,GIP_post_pg.mL,Glucagon_post_ng.mL,Leptin_post_ng.mL,Resistin_post_ng.mL,Log10.Pre.blood.value,Log10.Post.blood.value,Log10.Insulin_pre_ng.mL,Log10.Insulin_post_ng.mL,Log10.GIP_pre_pg.mL,Log10.GIP_post_pg.mL,Log10.Glucagon_pre_ng.mL.,Log10.Glucagon_post_ng.mL,Sqrt.Leptin_pre_ng.mL,Sqrt.Leptin_post_ng.mL,Sqrt.Resistin_pre_ng.mL,Sqrt.Resistin_post_ng.mL,Glucose.FC,Insulin.FC,GIP.FC,Glucagon.FC,Leptin.FC,Resistin.FC,Log10.Glucose.FC,Log10.Insulin_FC,Log10.GIP_FC,Log10.Glucagon_FC,Log10.Leptin_FC,Log10.Resistin_FC
103RN,26,44.03,1.693461538,12.64,29.01,237,354,3.08551,96.62,0.06466,11.41448,29.25431,1.95121,81.9,0.12614,12.22932,22.31656,5.468060141,5.869296913,1.12671696,0.668449693,4.570785759,4.405498991,-2.738612507,-2.070362878,3.378532226,3.497044466,5.408725358,4.724040643,41.97395462,0.63237844,0.84765059,1.950819672,1.07138652,0.76284691,0.174254916,-0.458267267,-0.165286768,0.668249629,0.068953623,-0.27069791
104NN,29,46.68,1.609655172,16.24,27.95,266,274,3.84737,84.12,0.18899,17.82479,56.80428,3.57903,103.81,0.1409,12.95174,29.31216,5.583496309,5.613128106,1.347389798,1.275091814,4.432244351,4.642562305,-1.666061175,-1.95970486,4.221941497,3.598852595,7.536861416,5.414070557,29.00506562,0.930253654,1.234070376,0.745542092,0.72661389,0.516020272,0.012868926,-0.072297984,0.210317955,-0.293643685,-0.319360043,-0.661609227
104RN,24,41,1.708333333,16.22,22.78,288,266,3.0425,101.77,0.23512,11.13728,31.23518,2.36943,98.37,0.18075,9.73444,11.8094,5.66296048,5.583496309,1.112679546,0.86264942,4.622715365,4.58873588,-1.447659257,-1.710640418,3.337256358,3.12000641,5.588844245,3.436480758,41.51631405,0.778777321,0.966591333,0.76875638,0.874041058,0.378080101,-0.034510851,-0.250030126,-0.033979486,-0.262981161,-0.134627927,-0.972649198
105NN,35,69,1.971428571,27.19,37.73,271,242,9.34197,77.75,0.21607,10.36692,16.69617,10.2958,107.42,0.31002,14.48664,21.30897,5.602118821,5.488937726,2.234517151,2.331736045,4.353498551,4.676746384,-1.53215285,-1.171118467,3.219770178,3.806131895,4.086094713,4.616163992,10.4333806,1.102101591,1.381607717,1.434812792,1.397390932,1.276278931,-0.049153925,0.097218894,0.323247833,0.361034382,0.334606878,0.243948759
105RN,27,44,1.62962963,11.95,29.23,196,244,4.72666,45.32,0.06085,11.00595,22.44448,4.34424,80.55,0.07761,8.82156,15.97515,5.278114659,5.497168225,1.553218822,1.46885083,3.813748436,4.38887811,-2.79934346,-2.556058994,3.317521665,2.970111109,4.737560554,3.996892543,18.54179327,0.919092975,1.777360989,1.275431389,0.801526447,0.711762981,0.095133755,-0.084367992,0.575129674,0.243284466,-0.221237311,-0.340010315
106NN,27,49.34,1.827407407,19.71,26.78,241,232,10.87971,89.83,0.12226,12.75303,43.72675,5.41975,83.15,0.14989,16.10111,28.64938,5.484796933,5.446737372,2.386899587,1.690049689,4.497918995,4.420646206,-2.101605354,-1.897853587,3.571138474,4.012618846,6.612620509,5.35251156,15.34203607,0.498152065,0.925637315,1.225993784,1.26253212,0.655191159,-0.016529058,-0.696849897,-0.07727279,0.203751767,0.233119323,-0.42282824
106RN,28,56.44,2.015714286,18.64,34.8,202,206,10.48607,122.57,0.22603,18.76964,27.04766,4.22082,120.12,0.15321,19.79285,22.05509,5.308267697,5.327876169,2.35004771,1.440029422,4.808682295,4.788491243,-1.487087545,-1.87594575,4.332394257,4.448915598,5.200736486,4.696284702,28.45892504,0.402516863,0.980011422,0.677830376,1.054514098,0.815415825,0.008515851,-0.910018287,-0.020191052,-0.388858205,0.05308009,-0.204057081
107NN,30,66.83,2.227666667,25.98,36.84,228,299,6.02473,105.18,0.19347,15.24423,20.27898,13.10386,137.4,0.2139,14.42933,18.5543,5.429345629,5.700443573,1.795872665,2.572906843,4.655673168,4.92289638,-1.642632817,-1.542246663,3.904385995,3.798595793,4.503218849,4.307470255,10.48546001,2.175011992,1.306332002,1.105597767,0.946543709,0.91495233,0.117736341,0.777034178,0.267223211,0.100386154,-0.05493813,-0.088883313
107RN,29,61.5,2.120689655,24.59,34.05,246,168,8.99687,206.02,0.31604,14.29584,34.06188,7.8187,335.97,0.13407,11.76714,30.16168,5.505331536,5.123963979,2.196876739,2.0565183,5.327973251,5.81702187,-1.151886491,-2.009393227,3.780983999,3.430326515,5.836255649,5.49196504,42.97005896,0.86904668,1.630764003,0.424218453,0.823116375,0.885496631,-0.165625825,-0.140358438,0.489048619,-0.857506737,-0.194657685,-0.121606626
108RN,26,52.33,2.012692308,17.28,31.38,199,160,5.06804,47.12,0.12245,14.0731,41.83062,2.85993,40.21,0.06429,14.36569,42.52778,5.293304825,5.075173815,1.622954155,1.050797149,3.852697539,3.694115721,-2.100052496,-2.744351181,3.751413067,3.790209757,6.467659546,6.521332686,14.05978468,0.564306912,0.853353141,0.525030625,1.020790728,1.01666626,-0.094733094,-0.572157005,-0.158581818,-0.644298685,0.02057755,0.016528902
109NN,26,53.84,2.070769231,19.55,31.03,289,185,14.14053,126.78,0.1575,25.6274,46.18567,10.5403,138.48,0.11289,20.28279,48.38882,5.666426688,5.220355825,2.649045142,2.355206006,4.842453301,4.930725911,-1.848329821,-2.181341386,5.062351232,4.50364186,6.796003973,6.9562073,13.13814597,0.745396389,1.09228585,0.716761905,0.791449386,1.047702025,-0.193726114,-0.293839136,0.08827261,-0.333011565,-0.233889349,0.046599218
109RN,24,51.2,2.133333333,17.27,30.54,245,212,4.81795,339.5,0.1716,13.45908,31.17788,4.72101,319.2,0.15261,13.18572,24.03937,5.501258211,5.356586275,1.572348526,1.55202276,5.827473947,5.765817866,-1.762589092,-1.879869631,3.668661881,3.631214673,5.583715609,4.902996023,67.61265068,0.979879409,0.940206186,0.889335664,0.979689548,0.771039275,-0.062830223,-0.020325767,-0.061656081,-0.11728054,-0.020519545,-0.260015966
110NN,21,36.33,1.73,12.39,21.51,214,277,2.05861,67.65,0.12632,12.61647,46.62232,1.96497,74.57,0.11689,13.56581,37.61498,5.365976015,5.624017506,0.722030998,0.675476978,4.214347355,4.311738282,-2.068936909,-2.146521957,3.551967061,3.683179333,6.828053896,6.133105249,37.9496888,0.954512997,1.102291205,0.925348322,1.075246087,0.806801978,0.112065996,-0.046554019,0.097390927,-0.077585048,0.072549554,-0.214677021
110RN,29,63.78,2.199310345,27.39,32.83,242,265,3.95127,80.48,0.01326,17.52812,23.0329,5.57326,71.84,0.04104,14.00575,24.56458,5.488937726,5.579729826,1.374037046,1.717980161,4.388008706,4.274441424,-4.323003294,-3.193208078,4.186659766,3.742425684,4.79926036,4.95626674,12.89012176,1.410498397,0.892644135,3.095022624,0.799044621,1.066499659,0.039430508,0.343943115,-0.113567283,1.129795216,-0.224338489,0.064381939
111NN,29,50.8,1.751724138,13.54,32.91,275,248,3.70351,54.75,0.1982,11.20007,13.09806,3.24069,4.83,0.36621,13.36613,10.34176,5.616771098,5.513428746,1.309281019,1.17578627,4.002777369,1.574846468,-1.618478657,-1.00454834,3.346650564,3.655971827,3.619124203,3.215860694,1.490423336,0.875032064,0.088219178,1.847679112,1.193397006,0.789564256,-0.044881013,-0.133494749,-2.427930902,0.613930317,0.176803867,-0.23627406
111RN,26,42.7,1.642307692,5.51,34.97,274,243,2.86373,59.23,0.06155,7.79872,7.75338,1.90445,35.18,0.09955,7.88464,6.45825,5.613128106,5.493061443,1.052124971,0.644193253,4.08142817,3.560477739,-2.787905426,-2.307095248,2.792618843,2.807960114,2.784489181,2.541308718,18.47252488,0.665024287,0.593955766,1.61738424,1.011017193,0.832959303,-0.052144289,-0.407931717,-0.52095043,0.480810178,0.010956946,-0.182770494
112NN,30,40.9,1.363333333,9.19,29.09,262,259,4.51295,50.52,0.15569,7.3644,4.52137,2.56832,70.89,0.01326,5.33412,3.66686,5.568344504,5.556828062,1.506951042,0.943251989,3.922369297,4.26112938,-1.859888428,-4.323003294,2.713742803,2.309571389,2.126351335,1.914904697,27.60170072,0.569100034,1.403206651,0.085169247,0.724311553,0.811006399,-0.005001527,-0.563699054,0.338760083,-2.463114861,-0.322533657,-0.209479335
113NN,25,35.375,1.415,1.56,31.12,202,223,1.86925,4.83,0.01326,0.07923,18.15597,1.74839,183.04,0.20114,0.64227,16.83583,5.308267697,5.407171771,0.625537281,0.558695364,1.574846468,5.209704708,-4.323003294,-1.603754096,0.281478241,0.801417494,4.260982281,4.103148791,104.6906011,0.935343052,37.89648033,15.16892911,8.106399091,0.92728893,0.042953494,-0.066841916,3.63485824,2.719249198,2.092653761,-0.075490079
113RN,31,49.8,1.606451613,15.59,31.71,250,258,4.79906,17.85,0.09541,5.23545,20.22279,5.38826,4.83,0.18962,10.72759,18.80238,5.521460918,5.552959585,1.568420065,1.684222513,2.882003508,1.574846468,-2.349571884,-1.662733209,2.288110574,3.275299986,4.49697565,4.336171122,0.89639327,1.122774043,0.270588235,1.987422702,2.049029214,0.929761917,0.013679697,0.115802447,-1.307157042,0.686838675,0.717366127,-0.072826729
114NN,26,51.5,1.980769231,18.39,30.16,271,315,3.11554,49.93,0.1016,10.75527,14.12823,4.82191,197.27,0.08951,9.85,13.29622,5.602118821,5.752572639,1.136402492,1.573170115,3.910622025,5.284573349,-2.286711744,-2.413404928,3.279522831,3.138470965,3.758753783,3.646398223,40.9111742,1.547696387,3.950931304,0.881003937,0.9158301,0.941110104,0.065341263,0.436767624,1.373951324,-0.126693184,-0.087924412,-0.060695139
114RN,36,52.45,1.456944444,17.14,32.15,299,233,5.21495,37.02,0.29344,18.6975,31.46984,5.52936,42.58,0.1471,13.31727,29.18501,5.700443573,5.451038454,1.651529501,1.710072076,3.611458307,3.751384659,-1.22608209,-1.916642651,4.324060592,3.649283491,5.60979857,5.402315244,7.70071039,1.060290127,1.150189087,0.501294984,0.712248696,0.927396199,-0.108315267,0.058542575,0.139926352,-0.690560561,-0.339328136,-0.075374406
115NN,30.58,64.9,2.122302158,30.94,30.72,622,612,11.92429,201.61,0.15142,27.76773,23.17859,12.06583,149.55,0.03423,34.43864,21.58131,6.432940093,6.416732283,2.478577496,2.490377491,5.306335138,5.007630785,-1.887697846,-3.374652826,5.269509465,5.868444428,4.814414814,4.645568856,12.39450581,1.011869889,0.741778682,0.226059966,1.240239659,0.931088129,-0.007038963,0.011799994,-0.298704353,-1.486954979,0.215304634,-0.071401346
115RN,32.19,54.8,1.702392047,17.51,34.18,211,272,6.58844,4.83,0.01326,12.07558,16.18341,3.6711,138.45,0.12024,11.65987,18.87922,5.351858133,5.605802066,1.885316598,1.300491345,1.574846468,4.93050925,-4.323003294,-2.118265534,3.474993525,3.41465518,4.022860922,4.34502244,37.71349187,0.557203223,28.66459627,9.067873303,0.965574324,1.166578614,0.110286449,-0.584825253,3.355662782,2.204737761,-0.0350322,0.154075203
116NN,25.92,47,1.813271605,19.34,24.65,305,343,3.38159,82.89,0.01326,0.07923,17.41371,2.17065,43.51,0.01326,0.88846,8.75884,5.720311777,5.837730447,1.218346013,0.775026662,4.417514428,3.772990797,-4.323003294,-4.323003294,0.281478241,0.942581561,4.17297376,2.959533747,20.04468708,0.641902182,0.524912535,1,11.21368169,0.502985291,0.050994281,-0.443319351,-0.64452363,0,2.417134612,-0.687194352
116RN,28.77,54.8,1.904761905,17.21,33.66,447,438,9.68335,4.83,0.01326,0.07923,27.80795,5.50456,176.97,0.24521,9.36312,16.1591,6.102558595,6.08221891,2.270407916,1.70557684,1.574846468,5.175980227,-4.323003294,-1.405640293,0.281478241,3.059921568,5.273324378,4.019838305,32.14970861,0.568456164,36.63975155,18.49245852,118.1764483,0.581096413,-0.008833413,-0.564831077,3.601133759,2.917363001,4.772178832,-0.542838593
117NN,28.09,35.1,1.249555002,6.74,25.94,202,291,1.57318,24.24,0.09373,1.99487,15.11335,0.9594,4.83,0.23384,1.34444,12.23882,5.308267697,5.673323267,0.453099049,-0.04144719,3.188004161,1.574846468,-2.36733697,-1.453118158,1.412398669,1.159499892,3.887589227,3.498402493,5.034396498,0.60984757,0.199257426,2.494825563,0.673948678,0.80980193,0.15854162,-0.494546238,-1.613157692,0.914218812,-0.394601316,-0.210965592
118NN,29.89,52.1,1.743057879,16.76,32.34,329,213,3.27909,92.69,0.11322,9.51919,19.44834,2.06739,24.69,0.03993,6.88612,14.03507,5.796057751,5.361292166,1.187565945,0.726286942,4.529260592,3.206398303,-2.17842245,-3.220627358,3.08531846,2.624141764,4.410027211,3.746340881,11.94259429,0.630476748,0.266371777,0.352676206,0.723393482,0.721659021,-0.188816295,-0.461279003,-1.322862288,-1.042204906,-0.32380197,-0.326202522
118RN,24.65,39,1.582150101,10.5,26.45,346,221,2.57269,104.76,0.15922,8.88376,33.77048,1.29832,97.07,0.21083,2.07176,12.30609,5.846438775,5.398162702,0.944952044,0.261071121,4.65167202,4.575432368,-1.837468385,-1.556703157,2.980563705,1.439360969,5.81123739,3.508003706,74.76585125,0.504654661,0.92659412,1.324142696,0.233207561,0.364403763,-0.194683825,-0.683880923,-0.076239652,0.280765228,-1.455826402,-1.009492787
119NN,28.38,48.6,1.712473573,13.85,31.18,190,82,2.55739,5.36,0.0443,14.79944,18.39663,0.69703,4.83,0.04322,5.5001,8.01447,5.247024072,4.406719247,0.938987207,-0.360926828,1.678963975,1.574846468,-3.116770602,-3.141451928,3.847004029,2.3452292,4.289129282,2.830983928,6.929400456,0.272555222,0.901119403,0.975620767,0.371642441,0.435648812,-0.364939749,-1.299914036,-0.104117507,-0.024681326,-0.989823067,-0.830918837
119RN,23.26,37.3,1.60361135,9.1,26.05,288,359,1.22661,146.55,0.53222,4.29469,19.84501,1.01413,150.93,0.1471,10.49121,16.92003,5.66296048,5.883322388,0.204254267,0.014031102,4.987366667,5.016816153,-0.630698341,-1.916642651,2.072363385,3.239013739,4.454773844,4.113396407,148.8270735,0.826774606,1.02988741,0.276389463,2.442832894,0.852608792,0.095701961,-0.190223165,0.029449486,-1.28594431,0.893158388,-0.159454463
120NN,26.78,38.2,1.42643764,7.91,27.54,206,268,2.02272,100.12,0.06251,3.62138,29.9003,3.14313,58.76,0.09624,10.08093,20.00846,5.327876169,5.590986981,0.70444314,1.145219119,4.606369467,4.073461351,-2.772428735,-2.340910207,1.90299238,3.175048031,5.468116678,4.473081712,18.69474059,1.553912553,0.586895725,1.539593665,2.783726093,0.66917255,0.114267574,0.440775978,-0.532908115,0.431518528,1.023790351,-0.40171333
121NN,31.89,47.8,1.498902477,17.51,27.16,218,248,6.12828,43.74,0.28099,16.06312,50.53871,7.49676,52.04,0.25069,14.50677,45.88466,5.384495063,5.513428746,1.812914123,2.014470927,3.778263015,3.952012654,-1.269436197,-1.383538163,4.007882234,3.808775394,7.109058306,6.773821669,6.941665466,1.223305724,1.189757659,0.892166981,0.903110355,0.907911183,0.055995187,0.201556804,0.173749638,-0.114101965,-0.101910524,-0.096608721
121RN,32.22,57,1.769087523,22.21,31.5,256,357,14.82654,89.9,0.51776,10.33657,19.16622,10.59096,331.93,0.68628,22.07792,23.19944,5.545177444,5.877735782,2.696418818,2.360000807,4.498697941,5.804924103,-0.658243465,-0.376469571,3.215053654,4.698714718,4.377924166,4.816579699,31.34087939,0.714324448,3.692213571,1.325478986,2.135903883,1.210433774,0.144428251,-0.336418011,1.306226162,0.281773893,0.758889921,0.190978786
122NN,28.72,51.2,1.782729805,15.25,32.51,212,209,5.81898,100.36,0.01326,8.73429,14.52225,6.63232,92.94,0.01326,5.97979,13.409,5.356586275,5.342334252,1.761124989,1.891954668,4.608763721,4.531954124,-4.323003294,-4.323003294,2.955383224,2.445360914,3.810807001,3.661830144,14.01319599,1.139773637,0.926066162,1,0.684633782,0.923341769,-0.006189575,0.130829679,-0.076809598,0,-0.378871209,-0.079755832
122RN,25.43,45.5,1.789225324,14.59,27.63,441,318,12.95497,85.31,0.01326,19.24639,35.53405,10.80343,275.38,0.26211,18.74217,22.87837,6.089044875,5.762051383,2.561479498,2.379863676,4.446291681,5.618151962,-4.323003294,-1.338991016,4.387070777,4.329222794,5.961044372,4.78313391,25.4900527,0.833921653,3.227992029,19.76696833,0.97380184,0.643843581,-0.142011469,-0.181615822,1.171860281,2.984012278,-0.026547446,-0.440299469
123NN,31.38,49.5,1.577437859,17.62,28.92,255,287,10.18743,163.73,0.13538,5.1441,23.96933,11.49615,203.77,0.21019,5.57566,21.01771,5.541263545,5.659482216,2.321154607,2.442012197,5.09821873,5.316991907,-1.99966964,-1.559743395,2.268060846,2.361283549,4.895848241,4.584507607,17.72506448,1.128464196,1.244548953,1.552592702,1.08389417,0.876858469,0.051341716,0.12085759,0.218773178,0.439926244,0.080560269,-0.13140968
123RN,31,75.7,2.441935484,37.92,34.06,731,701,13.15191,247.08,0.21083,22.17831,36.50913,13.60339,257.7,0.08173,17.96598,22.46768,6.59441346,6.552507887,2.576566995,2.610319026,5.509712171,5.551796118,-1.556703157,-2.504334147,4.70938531,4.238629495,6.042278544,4.740008439,18.94380739,1.034328094,1.04298203,0.387658303,0.810069839,0.615398943,-0.018199359,0.033752031,0.042083947,-0.94763099,-0.210634814,-0.485484534
124RN,24.12,48.4,2.006633499,20.72,24.84,290,194,4.74286,207.99,0.25912,20.17757,39.42771,2.27054,193.71,0.08565,13.12136,23.49678,5.669880923,5.267858159,1.556640329,0.820017689,5.337490002,5.266362195,-1.350464004,-2.457486054,4.491945013,3.622341784,6.279148828,4.847347728,85.31450668,0.478728025,0.931342853,0.330541834,0.650294362,0.595945846,-0.174596268,-0.73662264,-0.071127806,-1.10702205,-0.430330154,-0.517605478
125NN,30.89,56.2,1.819359016,18.2,34.13,197,250,4.19567,113.09,0.01326,13.2188,15.81409,6.05992,81.93,0.15569,16.42817,20.427,5.283203729,5.521460918,1.434053041,1.801696599,4.728183962,4.405865224,-4.323003294,-1.859888428,3.635766769,4.053167897,3.97669335,4.519623878,13.51998046,1.444327128,0.724467238,11.7413273,1.242788302,1.291696203,0.103473783,0.367643558,-0.322318738,2.463114866,0.217357486,0.255956241
126ANN,31.89,55.4,1.7372217,20.28,31.9,435,388,16.43836,69.21,0.1214,13.80961,32.26227,11.59439,68.5,0.29917,17.49305,29.43541,6.075346031,5.96100534,2.799617628,2.45052136,4.237145361,4.226833745,-2.1086644,-1.206743305,3.716128362,4.182469366,5.679988556,5.425440996,5.908029659,0.705325227,0.989741367,2.464332784,1.266730197,0.912378763,-0.049657531,-0.349096268,-0.010311615,0.901921095,0.236438932,-0.091700065
126BRN,23.9,34.6,1.447698745,6.91,25.27,265,240,4.32055,87.97,0.08565,8.48019,12.33041,1.95664,62.07,0.17173,5.28631,9.68879,5.579729826,5.480638923,1.463382709,0.671228716,4.476995847,4.12826278,-2.457486054,-1.761831803,2.912076579,2.299197686,3.511468354,3.112682123,31.7227492,0.452868269,0.705581448,2.005020432,0.623371646,0.785763815,-0.043034632,-0.792153993,-0.348733067,0.695654251,-0.472612396,-0.241099022
127NN,29.28,45.9,1.567622951,11.75,31.35,211,222,5.24065,85.06,0.08348,8.81994,15.10939,2.41909,4.83,0.10686,3.37918,4.97082,5.351858133,5.402677382,1.656445536,0.883391436,4.44335689,1.574846468,-2.483148197,-2.236235712,2.969838379,1.838254607,3.887079881,2.229533584,1.996618563,0.461601137,0.056783447,1.280067082,0.38312959,0.328988794,0.022070519,-0.773054101,-2.868510422,0.246912484,-0.959381992,-1.11173159
128RN,29.93,38.4,1.282993652,8.37,27.27,239,313,1.83625,4.83,0.01326,8.15937,9.57764,2.477,4.83,0.11243,0.56987,20.4358,5.476463552,5.746203191,0.607725449,0.907048151,1.574846468,1.574846468,-4.323003294,-2.185424473,2.856461097,0.754897344,3.094776244,4.520597306,1.949939443,1.34894486,1,8.478883861,0.069842402,2.133698907,0.117146437,0.299322702,0,2.137578821,-2.661513975,0.75785705
129RN,28.7,56.2,1.958188153,16.19,36.11,257,329,7.32364,58.76,0.07908,8.68162,20.89993,12.12699,50.52,0.12332,16.60835,27.87087,5.549076085,5.796057751,1.991107472,2.495433547,4.073461351,3.922369297,-2.537295281,-2.092972676,2.946458892,4.075334342,4.571644124,5.279286884,4.165914213,1.655869213,0.85976855,1.559433485,1.913047334,1.333538916,0.107262775,0.504326075,-0.151092054,0.444322605,0.648697433,0.287836248
130NN,22.76,44.9,1.972759227,6.93,34.65,184,294,2.08536,4.83,0.06155,6.38427,8.54142,4.03168,71.48,0.13203,2.48796,17.20243,5.214935758,5.683579767,0.734941502,1.394183163,1.574846468,4.26941769,-2.787905426,-2.024726109,2.526711301,1.577326853,2.922570786,4.147581223,17.72958171,1.933325661,14.79917184,2.145085297,0.389701563,2.014001185,0.203529507,0.65924166,2.694571222,0.763179317,-0.942374056,0.700123383
130RN,27.46,47.4,1.726147123,13.33,30.67,288,307,3.14619,163.85,0.01326,13.98939,17.85986,2.82372,4.83,0.27631,3.00402,15.40761,5.66296048,5.726847748,1.146192197,1.038055165,5.098951375,1.574846468,-4.323003294,-1.286231855,3.740239297,1.733210893,4.226092758,3.925252858,1.710509541,0.897504601,0.029478181,20.83785822,0.214735596,0.862694892,0.027745888,-0.108137032,-3.524104916,3.036771439,-1.538347794,-0.147694194
131NN,28.88,62.2,2.153739612,28.47,29.19,308,364,17.86777,159.2,0.01326,17.32635,25.60492,15.15836,267.05,0.01326,14.47747,17.94159,5.730099783,5.897153868,2.882998531,2.718552195,5.070161273,5.587435907,-4.323003294,-4.323003294,4.162493243,3.804927069,5.060130433,4.235751409,17.61734119,0.848363282,1.677449749,1,0.835575294,0.700708692,0.072550667,-0.164446336,0.517274634,0,-0.179634817,-0.355663039
131RN,37.77,61.1,1.617685994,19,38.75,372,272,17.85594,54.86,0.05765,8.30335,13.22562,13.14004,139.57,0.13538,15.09208,11.6414,5.918893854,5.605802066,2.882336226,2.575664057,4.004784486,4.938566268,-2.853365032,-1.99966964,2.881553401,3.884852636,3.636704552,3.411949589,10.62173327,0.73589181,2.544112286,2.34830876,1.817589286,0.880215824,-0.135974036,-0.306672168,0.933781782,0.853695392,0.597511055,-0.127588147
132NN,25.68,39.2,1.526479751,8.39,27.66,282,289,5.58853,67.07,0.17957,6.51197,8.36964,4.67996,119.87,0.0979,3.17165,6.73127,5.641907071,5.666426688,1.720716283,1.543289563,4.20573685,4.786407822,-1.717190175,-2.323808729,2.551856187,1.780912687,2.893033011,2.594469117,25.61346678,0.837422363,1.787237215,0.54519129,0.487049234,0.80424845,0.010648734,-0.17742672,0.580670972,-0.606618555,-0.719390065,-0.21784704
132RN,31.87,59.5,1.866959523,19.46,37.12,242,386,15.73377,182.41,0.01326,10.26733,30.30324,8.54405,103.29,0.23042,16.68349,21.91058,5.488937726,5.955837369,2.755809358,2.145235134,5.206256901,4.637540566,-4.323003294,-1.467851548,3.204267467,4.084542814,5.504837872,4.68087385,12.08911465,0.543038954,0.56625185,17.37707391,1.624910274,0.723044137,0.202771939,-0.610574223,-0.568716335,2.855151746,0.485452598,-0.324285012
133NN,26.69,35.8,1.341326339,4.83,28.04,165,222,5.41304,57.34,0.09748,1.52919,4.84458,4.3311,175.58,0.01326,3.46744,4.34521,5.105945474,5.402677382,1.688810857,1.465821551,4.04899846,5.168094779,-2.32810805,-4.323003294,1.236604221,1.862106334,2.201040663,2.084516731,40.5393549,0.800123406,3.062085804,0.136027903,2.267501095,0.896921921,0.12886903,-0.222989306,1.119096319,-1.994895245,0.818678386,-0.108786465
134NN,25.38,45.1,1.776989756,13.45,29.38,341,333,4.02633,67.47,0.01441,6.7233,17.27879,3.40394,142.96,0.16587,12.65568,13.87613,5.831882477,5.80814249,1.392855291,1.224933584,4.211683055,4.962564871,-4.239832869,-1.79655093,2.592932703,3.557482256,4.156776395,3.725067785,41.9983901,0.845420023,2.118867645,11.51075642,1.88236134,0.803073016,-0.010310145,-0.167921706,0.750881816,2.443281939,0.632527021,-0.21930964
134RN,26.68,47.5,1.78035982,14.13,30.28,253,312,8.32637,153.31,0.15079,12.27485,5.07759,4.42444,246.65,0.13727,11.79918,4.89144,5.533389489,5.743003188,2.119427587,1.487143717,5.032462015,5.507970328,-1.891867139,-1.98580549,3.503548201,3.43499345,2.253350838,2.21166001,55.747168,0.531376818,1.608831779,0.910338882,0.961248406,0.963338907,0.091034073,-0.632283871,0.475508313,-0.093938351,-0.039522416,-0.037350001
135ANN,26.02,40.2,1.544965411,9.55,27.95,251,244,2.21307,41.51,0.06202,3.336,4.36746,1.46357,23.7,0.06452,2.11319,2.87799,5.525452939,5.497168225,0.794380692,0.380878657,3.725934362,3.165475048,-2.780298365,-2.740780026,1.826472009,1.453681533,2.089846884,1.69646397,16.19328081,0.661330188,0.57094676,1.040309578,0.63345024,0.65896196,-0.012283895,-0.413502036,-0.560459314,0.03951834,-0.45657383,-0.41708947
136NN,30.08,56.3,1.871675532,15.21,37.89,244,265,16.18718,54.11,0.21289,14.08564,18.87566,13.70221,117.22,0.1482,13.02124,21.79676,5.497168225,5.579729826,2.784219571,2.617557134,3.991019012,4.764052511,-1.546979679,-1.909192566,3.753084065,3.608495531,4.344612756,4.668700033,8.554824368,0.846485305,2.166327851,0.696134154,0.924433679,1.154754854,0.035856048,-0.166662437,0.7730335,-0.362212887,-0.078573968,0.143888074
136RN,23.82,44.1,1.85138539,9.82,31.6,265,237,6.33688,90.29,0.38645,8.80121,6.51217,3.65947,27.23,0.27358,5.52403,2.79663,5.579729826,5.468060141,1.846386534,1.297318328,4.503026712,3.304319307,-0.950752785,-1.296161195,2.966683333,2.350325509,2.551895374,1.67231277,7.440968228,0.57748766,0.301583786,0.707931168,0.627644381,0.429446713,-0.048497528,-0.549068205,-1.198707404,-0.34540841,-0.465781545,-0.845257613
137NN,28.88,51.7,1.790166205,14.6,33.72,207,163,9.85186,72.37,0.10648,12.61218,19.6812,5.89013,50.32,0.01441,1.05907,19.19889,5.332718793,5.093750201,2.28766027,1.773278069,4.281791849,3.918402612,-2.239798105,-4.239832869,3.551363119,1.029111267,4.436349851,4.381653797,8.543105161,0.597869844,0.695315739,0.135330579,0.083972002,0.975493872,-0.103782741,-0.514382201,-0.363389236,-2.00003476,-2.477271845,-0.024811401
138NN,34.18,52.3,1.530134582,12.64,35.18,651,731,8.36525,46.65,0.13804,11.51599,18.75002,6.75555,51.3,0.08645,11.74461,11.00487,6.478509642,6.59441346,2.12408622,1.910364389,3.842672927,3.937690752,-1.980211781,-2.448189067,3.393521769,3.427040998,4.330129328,3.317358889,7.593756245,0.807572995,1.099678457,0.626267748,1.019852397,0.586925774,0.050336388,-0.213721832,0.095017825,-0.467977287,0.019657908,-0.532856917
138RN,28.08,35.5,1.264245014,3.36,28.63,268,251,1.38148,56.19,0.05591,0.47016,3.05582,2.88524,104.3,0.04251,2.50568,4.80776,5.590986981,5.525452939,0.323155388,1.059608085,4.028738805,4.647271362,-2.884012024,-3.158015937,0.685682142,1.582933985,1.748090387,2.192660484,36.14950576,2.088513768,1.856202171,0.7603291,5.329419772,1.573312564,-0.028461073,0.736452697,0.618532557,-0.274003913,1.673242371,0.45318331
