Sample.ID,Start.Weight,Weight_g,Delta.Weight.FC,Fat.mass_g,Lean.mass_g,Pre.blood.value,Post.blood.value,Insulin_pre_ng.mL,GIP_pre_pg.mL,Glucagon_pre_ng.mL.,Leptin_pre_ng.mL,Resistin_pre_ng.mL,Insulin_post_ng.mL,GIP_post_pg.mL,Glucagon_post_ng.mL,Leptin_post_ng.mL,Resistin_post_ng.mL,Log10.Pre.blood.value,Log10.Post.blood.value,Log10.Insulin_pre_ng.mL,Log10.Insulin_post_ng.mL,Log10.GIP_pre_pg.mL,Log10.GIP_post_pg.mL,Log10.Glucagon_pre_ng.mL.,Log10.Glucagon_post_ng.mL,Sqrt.Leptin_pre_ng.mL,Sqrt.Leptin_post_ng.mL,Sqrt.Resistin_pre_ng.mL,Sqrt.Resistin_post_ng.mL,Glucose.FC,Insulin.FC,GIP.FC,Glucagon.FC,Leptin.FC,Resistin.FC,Log10.Glucose.FC,Log10.Insulin_FC,Log10.GIP_FC,Log10.Glucagon_FC,Log10.Leptin_FC,Log10.Resistin_FC
78RN,30,56.8,1.893333333,20.45,32.32,514,388,8.69884,330.54,0.62378,29.65473,20.45203,8.70463,178.33,0.21808,28.63359,19.93643,6.242223265,5.96100534,2.163189683,2.163855068,5.800727681,5.183635766,-0.471957537,-1.522893311,5.445615668,5.351036348,4.522392066,4.465022956,20.4867984,1.000665606,0.539511103,0.34961044,0.965565696,0.974789789,-0.122131393,0.000665385,-0.617091914,-1.050935773,-0.035041136,-0.025533432
79NN,20,41.58,2.079,10.88,28.62,244,237,22.07732,262.47,0.28902,30.77953,38.7523,9.74606,269.5,0.20493,27.36506,38.05726,5.497168225,5.468060141,3.094550837,2.276863101,5.57013679,5.59656839,-1.241259389,-1.585086822,5.547930245,5.231162395,6.225134537,6.169056654,27.65219997,0.441451227,1.026784013,0.709051277,0.889066857,0.982064548,-0.01264148,-0.817687736,0.0264316,-0.343827432,-0.117582842,-0.018098242
79RN,27,45.7,1.692592593,15.81,27.43,228,287,14.94727,377.52,0.14749,26.6003,40.82118,10.92593,170.43,0.30396,24.65613,28.14083,5.429345629,5.659482216,2.704528674,2.391138863,5.933623547,5.138324655,-1.913994902,-1.190859165,5.157547867,4.965493933,6.389145483,5.304793116,15.59867215,0.730964919,0.451446281,2.060885484,0.926911727,0.689368362,0.09994705,-0.313389811,-0.795298892,0.723135737,-0.075896942,-0.371979518
80NN,30,52.43,1.747666667,18.12,30.92,320,386,5.58738,154.73,0.33923,27.58228,45.07323,3.72882,297.09,0.2851,28.18348,46.16057,5.768320996,5.955837369,1.720510483,1.31609183,5.041681663,5.694035123,-1.081076936,-1.254915283,5.251883472,5.308811543,6.713659956,6.794157049,79.67399874,0.667364668,1.920054288,0.840432745,1.021796603,1.024123854,0.081437326,-0.404418654,0.652353461,-0.173838347,0.021562453,0.02383747
80RN,30,59.3,1.976666667,22.23,33.22,339,279,6.5819,91.66,0.06984,27.91702,26.23422,3.6713,79.88,0.09874,37.14621,29.95216,5.826000107,5.631211782,1.884323457,1.300545823,4.518086079,4.380525509,-2.661548367,-2.315265146,5.283655931,6.094769069,5.121935181,5.472856658,21.7579604,0.557787265,0.871481562,1.413802978,1.330593667,1.141721004,-0.084595495,-0.583777635,-0.137560571,0.346283221,0.285625209,0.132536777
81NN,24,34,1.416666667,6.71,24.69,241,248,1.02817,114.52,0.15097,8.59816,8.17591,1.35281,125.25,0.15372,4.15232,7.1877,5.484796933,5.513428746,0.027780523,0.302183911,4.74074948,4.83031174,-1.890674137,-1.872622513,2.932261926,2.037724221,2.859354822,2.680988624,92.58506368,1.315745451,1.093695424,1.01821554,0.482931232,0.879131497,0.012434638,0.274403388,0.089562259,0.018051625,-0.727881012,-0.128820794
82NN,21,28.6,1.361904762,6.15,20.68,304,184,1.28032,212.92,0.39203,10.58122,45.26795,1.51766,87.32,0.13114,8.8535,32.26765,5.717027701,5.214935758,0.247110047,0.417169675,5.360916508,4.469579532,-0.936416912,-2.031489824,3.252878725,2.975483154,6.728146104,5.680462129,57.53594349,1.185375531,0.410107082,0.334515216,0.836718261,0.712814475,-0.218055761,0.170059628,-0.891336978,-1.095072912,-0.178267871,-0.338534096
82RN,25,43.16,1.7264,13.74,27.19,430,454,7.46915,317.59,0.20178,26.18767,37.12835,13.72747,432.46,0.34749,25.35251,31.60305,6.063785209,6.118097198,2.010781204,2.619398935,5.760761243,6.069489837,-1.600577284,-1.057019391,5.117388983,5.035127605,6.093303702,5.621659008,31.50325588,1.837889184,1.361692749,1.722123104,0.968108656,0.851183799,0.023587397,0.60861773,0.308728594,0.543557892,-0.03241095,-0.161127194
83NN,26,38.2,1.469230769,8.23,27.5,266,287,19.96484,610.07,0.22888,24.29803,25.03734,13.20601,565.13,0.13377,24.75405,23.0487,5.583496309,5.659482216,2.993972726,2.580672029,6.413573705,6.337055793,-1.47455743,-2.011633372,4.929303196,4.975344209,5.003732607,4.800906164,42.79339483,0.661463353,0.926336322,0.584454736,1.018767777,0.920573032,0.03300026,-0.413300697,-0.076517912,-0.537075942,0.018593835,-0.082758942
83RN,29,38.8,1.337931034,4.92,31.51,213,218,3.14339,468.26,0.23548,19.83569,44.52811,4.2805,466.55,0.1747,20.5964,34.11844,5.361292166,5.384495063,1.145301835,1.454069825,6.149023697,6.145365196,-1.446129295,-1.744685062,4.453727652,4.538325682,6.672938633,5.841099212,108.9942764,1.361746395,0.996348183,0.741888908,1.038350569,0.766222505,0.01007689,0.30876799,-0.003658501,-0.298555767,0.037633463,-0.266282675
